date,open,high,low,close,volume
1980-12-12,0.1006,0.1010,0.1006,0.1006,469033600
1980-12-15,0.0958,0.0958,0.0953,0.0953,175884800
1980-12-16,0.0888,0.0888,0.0883,0.0883,105728000
1980-12-17,0.0905,0.0910,0.0905,0.0905,86441600
1980-12-18,0.0932,0.0936,0.0932,0.0932,73449600
1980-12-19,0.0988,0.0993,0.0988,0.0988,48630400
1980-12-22,0.1037,0.1041,0.1037,0.1037,37363200
1980-12-23,0.1080,0.1084,0.1080,0.1080,46950400
1980-12-24,0.1137,0.1141,0.1137,0.1137,48003200
1980-12-26,0.1242,0.1246,0.1242,0.1242,55574400
1980-12-29,0.1259,0.1264,0.1259,0.1259,93161600
1980-12-30,0.1233,0.1233,0.1229,0.1229,68880000
1980-12-31,0.1198,0.1198,0.1194,0.1194,35750400
1981-01-02,0.1207,0.1216,0.1207,0.1207,21660800
1981-01-05,0.1185,0.1185,0.1181,0.1181,35728000
1981-01-06,0.1132,0.1132,0.1128,0.1128,45158400
1981-01-07,0.1084,0.1084,0.1080,0.1080,55686400
1981-01-08,0.1062,0.1062,0.1058,0.1058,39827200
1981-01-09,0.1115,0.1119,0.1115,0.1115,21504000
1981-01-12,0.1115,0.1115,0.1106,0.1106,23699200
1981-01-13,0.1072,0.1072,0.1067,0.1067,23049600
1981-01-14,0.1072,0.1076,0.1072,0.1072,14291200
1981-01-15,0.1093,0.1102,0.1093,0.1093,14067200
1981-01-16,0.1089,0.1089,0.1084,0.1084,13395200
1981-01-19,0.1150,0.1154,0.1150,0.1150,41574400
1981-01-20,0.1119,0.1119,0.1115,0.1115,30083200
1981-01-21,0.1137,0.1146,0.1137,0.1137,15904000
1981-01-22,0.1150,0.1159,0.1150,0.1150,35548800
1981-01-23,0.1150,0.1154,0.1146,0.1146,11222400
1981-01-26,0.1132,0.1132,0.1128,0.1128,24640000
1981-01-27,0.1128,0.1128,0.1119,0.1119,23699200
1981-01-28,0.1089,0.1089,0.1084,0.1084,28156800
1981-01-29,0.1049,0.1049,0.1045,0.1045,43904000
1981-01-30,0.0997,0.0997,0.0988,0.0988,46188800
1981-02-02,0.0936,0.0936,0.0932,0.0932,23766400
1981-02-03,0.0966,0.0971,0.0966,0.0966,19152000
1981-02-04,0.1001,0.1006,0.1001,0.1001,27865600
1981-02-05,0.1001,0.1010,0.1001,0.1001,7929600
1981-02-06,0.1006,0.1010,0.1006,0.1006,13865600
1981-02-09,0.0962,0.0962,0.0953,0.0953,16755200
