date,open,high,low,close,volume
1962-01-02,0.1363,0.1408,0.1363,0.1363,408858
1962-01-03,0.1363,0.1386,0.1363,0.1381,389370
1962-01-04,0.1381,0.1386,0.1372,0.1381,467127
1962-01-05,0.1381,0.1390,0.1377,0.1386,467127
1962-01-08,0.1386,0.1404,0.1354,0.1381,623031
1962-01-09,0.1381,0.1408,0.1372,0.1408,311418
1962-01-10,0.1408,0.1431,0.1408,0.1422,330906
1962-01-11,0.1422,0.1472,0.1418,0.1463,992914
1962-01-12,0.1463,0.1468,0.1399,0.1418,992914
1962-01-15,0.1418,0.1427,0.1408,0.1418,311418
1962-01-16,0.1408,0.1408,0.1372,0.1381,175197
1962-01-17,0.1381,0.1381,0.1335,0.1335,194685
1962-01-18,0.1344,0.1372,0.1344,0.1363,155709
1962-01-19,0.1372,0.1390,0.1372,0.1390,214173
1962-01-22,0.1399,0.1413,0.1399,0.1413,175197
1962-01-23,0.1413,0.1445,0.1399,0.1408,584055
1962-01-24,0.1408,0.1408,0.1372,0.1390,175197
1962-01-25,0.1390,0.1394,0.1372,0.1372,77757
1962-01-26,0.1372,0.1390,0.1363,0.1363,175197
1962-01-29,0.1363,0.1381,0.1363,0.1363,116733
1962-01-30,0.1363,0.1377,0.1354,0.1372,330906
1962-01-31,0.1372,0.1377,0.1363,0.1372,155709
1962-02-01,0.1372,0.1413,0.1372,0.1390,623031
1962-02-02,0.1390,0.1408,0.1390,0.1390,311418
1962-02-05,0.1390,0.1404,0.1390,0.1390,194685
1962-02-06,0.1390,0.1399,0.1381,0.1381,116733
1962-02-07,0.1390,0.1408,0.1390,0.1399,700788
1962-02-08,0.1418,0.1449,0.1418,0.1436,1031890
1962-02-09,0.1441,0.1454,0.1441,0.1445,506103
1962-02-12,0.1445,0.1449,0.1436,0.1445,311418
1962-02-13,0.1445,0.1445,0.1427,0.1445,311418
1962-02-14,0.1441,0.1441,0.1427,0.1427,97245
1962-02-15,0.1431,0.1441,0.1431,0.1436,233661
1962-02-16,0.1445,0.1486,0.1445,0.1463,1849411
1962-02-19,0.1463,0.1463,0.1441,0.1441,408858
1962-02-20,0.1449,0.1454,0.1449,0.1454,116733
1962-02-21,0.1445,0.1445,0.1436,0.1436,58464
1962-02-23,0.1436,0.1441,0.1427,0.1427,214173
1962-02-26,0.1408,0.1408,0.1372,0.1390,369882
1962-02-27,0.1390,0.1408,0.1381,0.1381,233661
1962-02-28,0.1381,0.1390,0.1367,0.1367,136221
1962-03-01,0.1372,0.1404,0.1372,0.1404,214173
1962-03-02,0.1404,0.1413,0.1394,0.1394,136221
1962-03-05,0.1399,0.1422,0.1399,0.1399,214173
1962-03-06,0.1399,0.1399,0.1381,0.1381,77757
1962-03-07,0.1372,0.1372,0.1372,0.1372,58464
1962-03-08,0.1372,0.1394,0.1367,0.1394,175197
1962-03-09,0.1394,0.1408,0.1390,0.1390,252954
1962-03-12,0.1394,0.1418,0.1394,0.1418,194685
