date,open,high,low,close,volume
1986-03-13,0.0562,0.0645,0.0562,0.0617,1031788800
1986-03-14,0.0617,0.0650,0.0617,0.0639,308160000
1986-03-17,0.0639,0.0656,0.0639,0.0650,133171200
1986-03-18,0.0650,0.0656,0.0628,0.0634,67766400
1986-03-19,0.0634,0.0639,0.0617,0.0623,47894400
1986-03-20,0.0623,0.0623,0.0601,0.0606,58435200
1986-03-21,0.0606,0.0617,0.0579,0.0590,59990400
1986-03-24,0.0590,0.0590,0.0568,0.0573,65289600
1986-03-25,0.0573,0.0584,0.0568,0.0584,32083200
1986-03-26,0.0584,0.0606,0.0579,0.0601,22752000
1986-03-27,0.0601,0.0612,0.0601,0.0612,16848000
1986-03-31,0.0612,0.0612,0.0595,0.0606,12873600
1986-04-01,0.0606,0.0606,0.0601,0.0601,11088000
1986-04-02,0.0601,0.0617,0.0601,0.0606,27014400
1986-04-03,0.0612,0.0628,0.0612,0.0612,23040000
1986-04-04,0.0612,0.0617,0.0612,0.0612,26582400
1986-04-07,0.0612,0.0617,0.0590,0.0601,16560000
1986-04-08,0.0601,0.0617,0.0601,0.0606,10252800
1986-04-09,0.0606,0.0623,0.0606,0.0617,12153600
1986-04-10,0.0617,0.0628,0.0606,0.0623,13881600
1986-04-11,0.0628,0.0645,0.0628,0.0634,17222400
1986-04-14,0.0634,0.0645,0.0634,0.0639,12153600
1986-04-15,0.0639,0.0639,0.0617,0.0639,9302400
1986-04-16,0.0639,0.0667,0.0634,0.0661,31910400
1986-04-17,0.0661,0.0667,0.0661,0.0667,22003200
1986-04-18,0.0667,0.0667,0.0639,0.0645,21628800
1986-04-21,0.0645,0.0650,0.0628,0.0645,22924800
1986-04-22,0.0645,0.0645,0.0634,0.0634,15552000
1986-04-23,0.0634,0.0639,0.0628,0.0636,15609600
1986-04-24,0.0636,0.0711,0.0634,0.0700,62352000
1986-04-25,0.0705,0.0774,0.0705,0.0744,85795200
1986-04-28,0.0744,0.0755,0.0738,0.0749,28886400
1986-04-29,0.0749,0.0749,0.0722,0.0727,30326400
1986-04-30,0.0727,0.0733,0.0694,0.0711,30902400
1986-05-01,0.0711,0.0711,0.0689,0.0700,54345600
1986-05-02,0.0700,0.0711,0.0694,0.0700,20246400
1986-05-05,0.0700,0.0700,0.0694,0.0694,3254400
1986-05-06,0.0700,0.0711,0.0700,0.0700,9734400
1986-05-07,0.0700,0.0705,0.0689,0.0700,5155200
1986-05-08,0.0700,0.0705,0.0694,0.0705,3542400
1986-05-09,0.0705,0.0705,0.0700,0.0700,6076800
1986-05-12,0.0700,0.0722,0.0700,0.0705,10483200
1986-05-13,0.0705,0.0716,0.0705,0.0711,3830400
1986-05-14,0.0711,0.0711,0.0705,0.0705,9302400
1986-05-15,0.0705,0.0716,0.0705,0.0705,3801600
1986-05-16,0.0705,0.0727,0.0705,0.0711,11952000
1986-05-19,0.0711,0.0711,0.0694,0.0700,11001600
1986-05-20,0.0700,0.0700,0.0689,0.0694,61977600
1986-05-21,0.0694,0.0700,0.0683,0.0683,8092800
1986-05-22,0.0683,0.0689,0.0683,0.0683,4406400
1986-05-23,0.0683,0.0694,0.0683,0.0683,4089600
1986-05-27,0.0683,0.0705,0.0683,0.0705,13881600
1986-05-28,0.0705,0.0727,0.0705,0.0727,15523200
1986-05-29,0.0727,0.0755,0.0722,0.0744,45676800
1986-05-30,0.0749,0.0783,0.0749,0.0772,27072000
1986-06-02,0.0772,0.0772,0.0749,0.0749,19728000
1986-06-03,0.0749,0.0749,0.0738,0.0749,5011200
1986-06-04,0.0749,0.0755,0.0738,0.0744,4723200
1986-06-05,0.0744,0.0755,0.0738,0.0755,13708800
1986-06-06,0.0755,0.0755,0.0744,0.0755,3427200
1986-06-09,0.0755,0.0755,0.0722,0.0722,12672000
1986-06-10,0.0722,0.0722,0.0711,0.0722,3427200
1986-06-11,0.0722,0.0722,0.0711,0.0722,2304000
1986-06-12,0.0722,0.0722,0.0689,0.0694,13708800
1986-06-13,0.0694,0.0700,0.0689,0.0694,7891200
1986-06-16,0.0694,0.0700,0.0683,0.0689,9590400
1986-06-17,0.0694,0.0711,0.0694,0.0700,13075200
1986-06-18,0.0700,0.0700,0.0683,0.0694,4348800
1986-06-19,0.0694,0.0700,0.0683,0.0689,8467200
1986-06-20,0.0689,0.0694,0.0689,0.0692,3801600
1986-06-23,0.0692,0.0700,0.0678,0.0700,46195200
1986-06-24,0.0700,0.0705,0.0689,0.0694,14572800
1986-06-25,0.0694,0.0700,0.0683,0.0683,15235200
1986-06-26,0.0683,0.0689,0.0661,0.0661,19152000
1986-06-27,0.0661,0.0667,0.0650,0.0656,10396800
1986-06-30,0.0656,0.0694,0.0650,0.0678,62352000
1986-07-01,0.0678,0.0678,0.0672,0.0678,47577600
1986-07-02,0.0678,0.0678,0.0672,0.0678,52617600
1986-07-03,0.0683,0.0694,0.0683,0.0689,14140800
1986-07-07,0.0689,0.0689,0.0661,0.0661,14054400
1986-07-08,0.0661,0.0661,0.0639,0.0645,14256000
1986-07-09,0.0645,0.0645,0.0612,0.0617,46137600
1986-07-10,0.0617,0.0623,0.0573,0.0601,46886400
1986-07-11,0.0601,0.0628,0.0601,0.0617,17395200
1986-07-14,0.0601,0.0623,0.0601,0.0609,28598400
1986-07-15,0.0609,0.0628,0.0601,0.0617,13190400
1986-07-16,0.0623,0.0639,0.0623,0.0639,9360000
1986-07-17,0.0639,0.0650,0.0634,0.0650,6940800
1986-07-18,0.0650,0.0661,0.0634,0.0656,12326400
1986-07-21,0.0656,0.0667,0.0656,0.0656,3513600
1986-07-22,0.0656,0.0678,0.0656,0.0678,10512000
1986-07-23,0.0678,0.0689,0.0661,0.0661,20793600
1986-07-24,0.0672,0.0694,0.0672,0.0683,14140800
1986-07-25,0.0683,0.0694,0.0683,0.0689,20448000
1986-07-28,0.0689,0.0689,0.0672,0.0672,11808000
1986-07-29,0.0672,0.0678,0.0645,0.0656,14054400
1986-07-30,0.0656,0.0656,0.0612,0.0634,26409600
1986-07-31,0.0634,0.0639,0.0628,0.0628,15638400
1986-08-01,0.0628,0.0634,0.0617,0.0623,12902400
1986-08-04,0.0623,0.0623,0.0606,0.0623,12441600
1986-08-05,0.0623,0.0628,0.0617,0.0617,2822400
1986-08-06,0.0617,0.0623,0.0601,0.0612,18316800
1986-08-07,0.0612,0.0617,0.0601,0.0606,3657600
1986-08-08,0.0606,0.0623,0.0606,0.0612,4147200
1986-08-11,0.0623,0.0639,0.0623,0.0634,7948800
1986-08-12,0.0634,0.0650,0.0634,0.0650,9993600
1986-08-13,0.0650,0.0656,0.0645,0.0656,6883200
1986-08-14,0.0656,0.0678,0.0656,0.0672,20131200
1986-08-15,0.0672,0.0678,0.0667,0.0675,6105600
1986-08-18,0.0675,0.0678,0.0667,0.0667,12787200
1986-08-19,0.0667,0.0669,0.0656,0.0667,20390400
1986-08-20,0.0667,0.0667,0.0661,0.0661,20764800
1986-08-21,0.0661,0.0672,0.0661,0.0661,49536000
1986-08-22,0.0661,0.0667,0.0639,0.0650,5760000
1986-08-25,0.0650,0.0650,0.0639,0.0650,2419200
1986-08-26,0.0650,0.0650,0.0645,0.0645,10857600
1986-08-27,0.0645,0.0650,0.0639,0.0645,9532800
1986-08-28,0.0645,0.0650,0.0645,0.0645,3427200
1986-08-29,0.0645,0.0650,0.0617,0.0628,25430400
1986-09-02,0.0628,0.0628,0.0603,0.0612,5212800
1986-09-03,0.0606,0.0606,0.0579,0.0595,18316800
1986-09-04,0.0606,0.0645,0.0606,0.0645,39427200
1986-09-05,0.0645,0.0672,0.0639,0.0672,26352000
1986-09-08,0.0672,0.0678,0.0667,0.0667,9619200
1986-09-09,0.0667,0.0694,0.0667,0.0678,37526400
1986-09-10,0.0678,0.0683,0.0667,0.0667,10886400
1986-09-11,0.0667,0.0672,0.0639,0.0639,35654400
1986-09-12,0.0639,0.0645,0.0623,0.0623,24451200
1986-09-15,0.0623,0.0634,0.0612,0.0634,22492800
1986-09-16,0.0634,0.0639,0.0623,0.0634,5184000
1986-09-17,0.0634,0.0661,0.0628,0.0650,8035200
1986-09-18,0.0650,0.0667,0.0650,0.0656,5356800
1986-09-19,0.0656,0.0661,0.0650,0.0656,2505600
1986-09-22,0.0656,0.0656,0.0650,0.0650,4492800
1986-09-23,0.0650,0.0667,0.0650,0.0661,5961600
1986-09-24,0.0661,0.0661,0.0650,0.0653,4780800
1986-09-25,0.0653,0.0656,0.0639,0.0639,5155200
1986-09-26,0.0639,0.0645,0.0634,0.0639,2332800
1986-09-29,0.0639,0.0639,0.0623,0.0623,6192000
1986-09-30,0.0623,0.0634,0.0623,0.0623,5184000
1986-10-01,0.0623,0.0634,0.0606,0.0617,32428800
1986-10-02,0.0617,0.0628,0.0612,0.0617,22723200
1986-10-03,0.0617,0.0628,0.0617,0.0623,14716800
1986-10-06,0.0639,0.0683,0.0639,0.0672,85334400
1986-10-07,0.0672,0.0700,0.0672,0.0686,59788800
1986-10-08,0.0686,0.0714,0.0678,0.0705,119606400
1986-10-09,0.0705,0.0744,0.0705,0.0727,92563200
