date,open,high,low,close,volume
1999-01-22,0.4023,0.4491,0.3569,0.3772,271468800
1999-01-25,0.4071,0.4215,0.3772,0.4167,51048000
1999-01-26,0.4215,0.4299,0.3784,0.3843,34320000
1999-01-27,0.3857,0.3953,0.3640,0.3832,24436800
1999-01-28,0.3832,0.3857,0.3795,0.3820,22752000
1999-01-29,0.3820,0.3832,0.3640,0.3640,24403200
1999-02-01,0.3640,0.3736,0.3640,0.3713,15470400
1999-02-02,0.3640,0.3736,0.3317,0.3426,26409600
1999-02-03,0.3378,0.3544,0.3353,0.3497,7512000
1999-02-04,0.3544,0.3784,0.3497,0.3688,18192000
1999-02-05,0.3748,0.3832,0.3652,0.3795,13684800
1999-02-08,0.3820,0.3832,0.3665,0.3665,15408000
1999-02-09,0.3736,0.3761,0.3474,0.3522,8697600
1999-02-10,0.3522,0.3617,0.3426,0.3485,14822400
1999-02-11,0.3497,0.3928,0.3497,0.3784,13224000
1999-02-12,0.3832,0.4023,0.3832,0.4000,10972800
1999-02-16,0.4071,0.4240,0.3617,0.4023,21100800
1999-02-17,0.3928,0.3976,0.3736,0.3809,6772800
1999-02-18,0.3928,0.3976,0.3761,0.3868,7070400
1999-02-19,0.3832,0.4071,0.3784,0.4000,7536000
1999-02-22,0.4071,0.4119,0.3809,0.4023,20524800
1999-02-23,0.4119,0.4299,0.3880,0.4215,13809600
1999-02-24,0.4838,0.5029,0.4443,0.4550,61276800
1999-02-25,0.4742,0.4886,0.4336,0.4407,14913600
1999-02-26,0.4455,0.4598,0.4167,0.4204,17260800
1999-03-01,0.4311,0.4407,0.4023,0.4227,9216000
1999-03-02,0.4215,0.4240,0.4119,0.4192,5524800
1999-03-03,0.4215,0.4215,0.3880,0.3905,6139200
1999-03-04,0.4096,0.4119,0.3784,0.3820,5736000
1999-03-05,0.3857,0.4048,0.3857,0.4035,7876800
1999-03-08,0.3928,0.4215,0.3857,0.4096,7588800
1999-03-09,0.4083,0.4288,0.4083,0.4227,14318400
1999-03-10,0.4288,0.4288,0.4096,0.4156,23534400
1999-03-11,0.4083,0.4156,0.3976,0.3976,5428800
1999-03-12,0.4000,0.4000,0.3832,0.3905,9076800
1999-03-15,0.4000,0.4119,0.3976,0.4071,10881600
1999-03-16,0.4096,0.4144,0.3905,0.3939,7915200
1999-03-17,0.3976,0.4048,0.3868,0.3964,5136000
1999-03-18,0.3976,0.4071,0.3880,0.4012,4632000
1999-03-19,0.4000,0.4144,0.4000,0.4023,10531200
1999-03-22,0.4108,0.4119,0.3905,0.3905,3667200
1999-03-23,0.3928,0.3928,0.3592,0.3665,16396800
1999-03-24,0.3640,0.3665,0.3497,0.3640,6086400
1999-03-25,0.3629,0.3832,0.3617,0.3688,4032000
1999-03-26,0.3736,0.4023,0.3736,0.4012,8827200
1999-03-29,0.4131,0.4227,0.4060,0.4131,6595200
1999-03-30,0.4144,0.4179,0.3761,0.3784,6950400
1999-03-31,0.3905,0.4096,0.3725,0.4048,15360000
1999-04-01,0.4048,0.4071,0.3857,0.3928,3043200
1999-04-05,0.3880,0.3976,0.3784,0.3809,9864000
1999-04-06,0.3843,0.3857,0.3640,0.3713,6969600
1999-04-07,0.3736,0.4048,0.3713,0.4023,8928000
1999-04-08,0.4048,0.4215,0.4000,0.4096,13012800
1999-04-09,0.4119,0.4119,0.4000,0.4023,4862400
1999-04-12,0.3976,0.3976,0.3784,0.3857,3331200
